Question,Option A,Option B,Option C,Option D,Correct Answer
Macintosh has named six of its operating systems after big cats. What big cat did Macintosh name their 2007 release after? ,Leopard,Tiger,Puma,Panther,Leopard
Which language is NOT Indo-European?,Latvian,Russian,Greek,Hungarian,Hungarian
"In a standard set of playing cards, which is the only king without a moustache?",Spades,Clubs,Diamonds,Hearts,Hearts
"Which American manufactured submachine gun was informally known by the American soldiers that used it as ""Grease Gun""?",Colt 9mm,M3,Thompson,MAC-10,M3
Which of these Nicktoons were NOT originally a short on Oh Yeah! Cartoons before becoming their own series?,ChalkZone,The Fairly OddParents,Danny Phantom,My Life as a Teenage Robot,Danny Phantom
What are the three starter Pokemon available in Pokemon Black and White?,"Chespin, Fennekin, Oshawott","Snivy, Tepig, Oshawott","Snivy, Fennekin, Froakie","Chespin, Tepig, Froakie","Snivy, Tepig, Oshawott"
"If a person's hair is described as 'Titian', what colour is it?",Black,Brunette,Red,Blonde,Red
What is the most-visited website out of these options?,Facebook,Wikipedia,YouTube,Google,Google
What is the real name of viral internet meme Grumpy Cat?,Lil Bub,Colonel Meow,Tardar Sauce,Maru,Tardar Sauce
"What is a ""dakimakura""?","A Chinese meal, essentially composed of fish",A yoga posture,A body pillow,A word used to describe two people who truly love each other,A body pillow
"The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?",3,5,6,4,4
Which item of clothing is usually worn by a Scotsman at a wedding?,Skirt,Dress,Rhobes,Kilt,Kilt
"In the Morse code, which letter is indicated by 3 dots? ",C,S,O,A,S
Which mountain has the highest peak in Africa?,"Mount Speke, Uganda","Mount Kenya, Kenya","Mount Kilimanjaro, Tanzania","Mount Stanley, DR Congo/Uganda","Mount Kilimanjaro, Tanzania"
What year was Apple Inc. founded?,1980,1976,1974,1978,1976
What is the defining characteristic of someone who is described as hirsute?,Hairy,Tall,Funny,Rude,Hairy
"Out of these four buildings, which one is the tallest, with a height of 1,483 ft (451.9 m)?","Trump Intl. Hotel & Tower, United States","Petronas Twin Towers, Malaysia","Zifeng Tower, China","Al Hamra Tower, Kuwait","Petronas Twin Towers, Malaysia"
"The early part of which decade, did the Goth Subculture begin?",1990s,1980s,1970s,2000s,1980s
"In what year did Halley's Comet, which will not appear again until the year 2061, previously approach Earth?",1909,2001,1942,1986,1986
What is a dead mall?,A mall after business hours,A mall with no stores,A mall that has been condemed,A mall with high vacancy rates or low consumer foot traffic,A mall with high vacancy rates or low consumer foot traffic
Bob and Mike Bryan were well known brothers in which sport?,Football,Tennis,Basketball,Baseball,Tennis
"The term ""scientist"" was coined in which year?",1833,1942,1796,1933,1833
What is the star sign of someone born on Valentines day?,Aquarius,Pisces,Scorpio,Capricorn,Aquarius
Which is the most popular spoken language in the Southern Hemisphere?,Portuguese,Spanish,French,English ,Portuguese
What is a Burgee?,A window,A rope,A flag,A type of food,A flag
What is the currency of Poland?,Złoty,Euro,Krone,Ruble,Złoty
"Which iconic Disneyland attraction was closed in 2017 to be remodeled as a ""Guardians of the Galaxy"" themed ride?",The Haunted Mansion,Peter Pan's Flight,Twilight Zone Tower of Terror,Pirates of the Caribbean,Twilight Zone Tower of Terror
Amsterdam Centraal station is twinned with what station?,Brussels Midi,London Liverpool Street,Frankfurt (Main) Hauptbahnhof,Paris Gare du Nord,London Liverpool Street
"What is the name of the popular animatronic singing fish prop, singing such hits such as ""Don't Worry, Be Happy""?",Big Billy Bass,Sardeen,Big Mouth Billy Bass,Singing Fish,Big Mouth Billy Bass
Rolex is a company that specializes in what type of product?,Sports equipment,Cars,Watches,Computers,Watches
"""Gum arabic"" is a natural gum consisting of the hardened sap of which tree species?",Palm,Ficus,Acacia,Eucalyptus,Acacia
All Souls and Merton are constituent colleges of what university?,Manchester,Cambridge,Oxford,Leeds,Oxford
"On average, Americans consume 100 pounds of what per second?",Donuts,Chocolate,Potatoes,Cocaine,Chocolate
"What Latin phrase roughly translates to ""seize the day""?",Carpe diem,Sic semper tyrannis,Memento mori,Plus ultra,Carpe diem
